STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Country,INDICATOR,Indicator,MEASURE,Measure,INEQUALITY,Inequality,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,USA,United States,HO_BASE,Dwellings without basic facilities,L,Value,WMN,Women,0.1,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,AUS,Australia,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,1.1,,E,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,AUT,Austria,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,BEL,Belgium,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,2,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,CAN,Canada,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,0.2,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,CZE,Czechia,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,0.9,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,DNK,Denmark,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,0.9,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,FIN,Finland,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,0.6,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,FRA,France,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,0.5,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,DEU,Germany,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,0.1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,GRC,Greece,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,0.7,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,HUN,Hungary,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,4.8,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,ISL,Iceland,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,0.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,IRL,Ireland,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,0.2,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,ITA,Italy,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,1.1,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,JPN,Japan,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,6.4,,A,,PC,Percentage,0,Units,,
DATAFLOW,OECD:DF_BLI2015(1.0),Better Life Index - Edition 2015,I,KOR,Korea,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,4.2,,A,,PC,Percentage,0,Units,,
